1676447677.17058,1676447677.17076,1,0,0,1,0,5,2,0.021321,0.152824,0.219533,-0.450956,0.021321,0.54436,0.501895,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17083,1,1,0,1,0,6,2,0.070802,0.148333,0.214718,-0.471866,0.070802,0.5227,0.482289,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17089,1,2,0,1,0,7,2,0.104759,0.145279,0.214322,-0.479182,0.104759,0.514676,0.475021,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17093,1,3,0,1,0,9,2,0.128065,0.143189,0.214765,-0.479182,0.128065,0.514676,0.475021,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17098,1,4,0,1,1,5,2,0.084205,0.189875,0.180058,-0.136007,0.084205,0.139779,0.87997,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17101,1,5,0,1,1,6,2,0.11859,0.194956,0.154806,0.158082,0.11859,0.273261,0.876274,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17104,1,6,0,1,1,7,2,0.13192,0.183452,0.138248,0.376899,0.13192,0.357251,0.806717,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17108,1,7,0,1,1,9,2,0.135092,0.16962,0.128734,0.376899,0.135092,0.357251,0.806717,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17113,1,8,0,1,2,5,2,0.069321,0.198768,0.166306,-0.08161,0.069321,0.052341,0.928933,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17119,1,9,0,1,2,6,2,0.101732,0.204273,0.131057,-0.0424,0.101732,0.06735,0.931546,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17128,1,10,0,1,2,7,2,0.120692,0.20516,0.109882,-0.012406,0.120692,0.078731,0.932428,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17134,1,11,0,1,2,9,2,0.13308,0.204552,0.095765,-0.012406,0.13308,0.078731,0.932428,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17139,1,12,0,1,3,5,2,0.049873,0.20327,0.155317,-0.090486,0.049873,-0.002903,0.945967,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17144,1,13,0,1,3,6,2,0.07617,0.210999,0.120033,-0.048073,0.07617,0.011031,0.949068,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17151,1,14,0,1,3,7,2,0.092562,0.213337,0.097824,-0.015821,0.092562,0.02159,0.950153,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17156,1,15,0,1,3,9,2,0.103604,0.213648,0.082755,-0.015821,0.103604,0.02159,0.950153,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17162,1,16,0,1,4,5,2,0.031185,0.202567,0.14489,-0.054176,0.031185,-0.116292,0.974612,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17168,1,17,0,1,4,6,2,-0.000149,0.182337,0.189288,-0.150435,-0.000149,-0.11083,0.933037,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17175,1,18,0,1,4,6,2,0.043387,0.20781,0.11212,0.017714,0.043387,-0.102469,0.975956,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17181,1,19,0,1,4,7,2,-0.000149,0.182337,0.189288,-0.150435,-0.000149,-0.11083,0.933037,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17187,1,20,0,1,4,7,2,0.050771,0.207901,0.094009,0.071568,0.050771,-0.091737,0.97349,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17192,1,21,0,1,4,8,2,-0.000149,0.182337,0.189288,-0.150435,-0.000149,-0.11083,0.933037,0.049109,0.186561,0.049109
1676447677.17058,1676447677.17197,1,22,0,1,4,9,2,0.057606,0.206122,0.078285,0.071568,0.057606,-0.091737,0.97349,0.049109,0.186561,0.049109
1676447677.21471,1676447677.21483,2,23,1,1,0,5,2,0.025606,0.176763,0.211514,-0.523164,0.025606,0.563849,0.498784,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21486,2,24,1,1,0,6,2,0.074949,0.180327,0.204854,-0.540908,0.074949,0.548991,0.479484,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21492,2,25,1,1,0,7,2,0.10892,0.182302,0.20272,-0.543745,0.10892,0.54649,0.476264,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21497,2,26,1,1,0,9,2,0.132257,0.183605,0.201527,-0.543745,0.132257,0.54649,0.476264,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21502,2,27,1,1,1,5,2,0.082827,0.226555,0.177869,-0.232608,0.082827,0.14414,0.87787,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21506,2,28,1,1,1,6,2,0.115354,0.239233,0.152828,0.064524,0.115354,0.263757,0.90587,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21511,2,29,1,1,1,7,2,0.128766,0.232263,0.133967,0.291835,0.128766,0.337483,0.859997,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21518,2,30,1,1,1,9,2,0.132679,0.22083,0.121888,0.291835,0.132679,0.337483,0.859997,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21523,2,31,1,1,2,5,2,0.066527,0.23638,0.166577,-0.181311,0.066527,0.045064,0.927136,0.048027,0.220583,0.048027
1676447677.21471,1676447677.2153,2,32,1,1,2,6,2,0.096347,0.251173,0.131718,-0.138287,0.096347,0.060021,0.934522,0.048027,0.220583,0.048027
1676447677.21471,1676447677.21537,2,33,1,1,2,7,2,0.113954,0.257423,0.11028,-0.105337,0.113954,0.071322,0.938807,0.048027,0.220583,0.048027
